timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1572184800,Oct 27 2019 - 2:00pm,complete,N/A,Rapide Oued Zem,Raja Beni Mellal,N/A,0.50,0.00,1.50,0.18,3,1,4,0,0,0,"","",8,6,1,0,2,0,0,1,0,2,14,11,7,7,7,4,12,17,60,40,1.97,1.60,1.25,0,50,0,0,0,0,0,6.50,3.00,2.00,3.00,4.00,1.57,2.88,6.00,15.00,2.38,1.53,Stade Municipal (Oued Zem)
1572184800,Oct 27 2019 - 2:00pm,complete,N/A,Olympic Safi,Raja Casablanca,Samir Guezzaz,1.00,0.00,1.62,1.67,0,0,0,0,0,0,"","",3,6,0,0,1,0,0,0,1,0,0,2,0,0,0,2,10,10,50,50,0.37,0.70,1.00,50,50,0,0,0,0,0,0.00,1.00,3.00,3.10,2.20,1.57,2.70,6.00,15.00,2.38,1.53,Stade El Massira (Safi)
1572192000,Oct 27 2019 - 4:00pm,complete,N/A,Wydad Casablanca,Youssoufia Berrechid,N/A,0.00,0.00,1.91,0.38,3,1,4,0,0,0,"","",3,4,3,0,1,0,1,2,0,1,6,3,5,3,1,0,6,5,49,51,1.16,0.89,0.00,0,0,0,0,0,0,0,0.00,0.00,1.29,4.33,9.50,1.36,2.15,4.00,8.00,2.62,1.44,Stade Mohamed V (Casablanca)
1572199200,Oct 27 2019 - 6:00pm,complete,N/A,Ittihad Tanger,Mouloudia Oujda,Noureddine El Jaafari,1.00,1.00,1.30,1.17,0,0,0,0,0,0,"","",5,4,0,1,1,2,1,0,1,2,2,2,2,0,0,2,16,14,50,50,0.79,0.67,0.00,0,0,0,0,0,0,0,17.00,6.00,2.10,2.90,3.50,1.57,2.88,5.50,13.00,2.25,1.57,Grand Stade de Tanger (Tanger)
1572285600,Oct 28 2019 - 6:00pm,complete,N/A,Difaâ El Jadida,Khouribga,N/A,0.50,2.00,1.69,0.77,1,0,1,0,0,0,"","",1,7,1,0,2,0,0,1,0,2,2,2,2,0,0,2,10,10,50,50,0.84,0.65,1.00,25,25,0,0,0,0,0,7.50,1.00,1.80,3.10,4.75,1.53,2.70,5.50,13.00,2.38,1.53,Stade Ben Ahmed El Abdi (El Jadida (Mazghan))
1572451200,Oct 30 2019 - 4:00pm,complete,N/A,Youssoufia Berrechid,Moghreb Tétouan,N/A,0.00,3.00,1.92,0.77,1,1,2,0,0,0,"","",3,2,3,0,2,0,1,2,0,2,3,3,2,3,1,0,14,13,57,43,0.95,0.90,2.50,50,100,50,0,0,0,0,12.00,2.00,2.80,3.00,2.38,1.53,2.70,5.50,13.00,2.20,1.62,Stade Municipal de Berrechid (Berrechid)
1572627600,Nov 1 2019 - 5:00pm,complete,N/A,CR Khemis Zemamra,Rapide Oued Zem,N/A,1.00,0.00,1.36,0.75,2,0,2,0,0,0,"","",2,7,3,0,2,0,0,3,0,2,13,5,6,2,7,3,27,15,50,50,1.58,1.07,2.00,50,100,0,0,0,0,0,8.00,6.00,2.25,2.90,3.20,1.54,2.65,5.25,10.00,2.20,1.59,Stade Municipal Khemiss des Zemamra (Zemamra)
1572703200,Nov 2 2019 - 2:00pm,complete,N/A,Raja Beni Mellal,FUS Rabat,Karim Sabri,0.00,0.50,1.00,1.23,2,2,4,0,0,0,"","",2,1,0,0,0,0,0,0,0,0,10,20,6,6,4,14,17,16,50,50,1.33,2.14,2.25,50,100,25,0,0,0,0,7.00,2.50,2.45,2.95,2.85,1.51,2.60,5.10,9.75,2.15,1.61,Stade Municipal (Oued Zem)
1572789600,Nov 3 2019 - 2:00pm,complete,N/A,FAR Rabat,Difaâ El Jadida,N/A,2.00,1.00,1.43,1.08,1,3,4,0,0,0,"","",11,1,1,0,2,0,0,1,1,1,16,7,5,5,11,2,18,19,60,40,1.96,1.01,0.50,0,25,0,0,0,0,0,6.00,2.00,2.70,2.80,2.65,1.56,2.75,5.45,10.50,2.20,1.57,Stade Prince Moulay Abdallah (Rabat)
1572890400,Nov 4 2019 - 6:00pm,complete,N/A,Mouloudia Oujda,Youssoufia Berrechid,N/A,2.00,0.00,2.08,0.38,3,1,4,0,0,0,"","",0,5,2,0,3,0,0,2,1,2,8,8,4,2,4,6,26,17,50,50,1.09,1.28,3.25,100,100,75,50,0,0,0,8.00,3.50,2.10,2.80,3.70,1.51,2.60,5.10,9.75,2.15,1.59,Stade d'Honneur d'Oujda (Oujda)
1572962400,Nov 5 2019 - 2:00pm,complete,N/A,CR Khemis Zemamra,Raja Casablanca,N/A,2.00,1.00,1.36,1.67,1,2,3,0,0,0,"","",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,39,61,0.09,0.19,1.00,25,50,0,0,0,0,0,9.00,4.00,4.50,3.20,1.73,1.36,2.15,4.00,9.00,2.00,1.73,Stade Municipal Khemiss des Zemamra (Zemamra)
1573048800,Nov 6 2019 - 2:00pm,complete,N/A,Hassania Agadir,FAR Rabat,N/A,0.00,1.50,1.50,1.50,2,1,3,0,0,0,"","",5,8,3,0,4,0,1,2,2,2,3,2,3,2,0,0,15,12,43,57,0.79,0.82,2.50,25,50,25,25,25,0,0,6.50,6.00,1.80,3.10,4.20,1.50,2.40,5.50,13.00,2.30,1.68,Stade d'Agadir (Agadir)
1573048800,Nov 6 2019 - 2:00pm,complete,N/A,Moghreb Tétouan,Olympic Safi,Hicham Tiazi,3.00,1.00,1.92,0.92,1,1,2,0,0,0,"","",6,2,3,0,3,0,1,2,0,3,13,7,6,3,7,4,19,27,50,50,1.83,0.89,1.25,25,50,0,0,0,0,0,9.50,2.00,2.55,2.90,2.75,1.50,2.55,5.00,9.50,2.10,1.62,Stade Saniat Rmel (Tétouan)
1573063200,Nov 6 2019 - 6:00pm,complete,N/A,RSB Berkane,Rapide Oued Zem,Karim Sabri,0.00,0.00,1.92,0.75,2,1,3,0,0,0,"","",1,2,1,0,1,0,1,0,0,1,5,3,3,2,2,1,14,19,50,50,1.04,0.73,1.00,0,50,0,0,0,0,0,5.50,2.50,2.00,3.00,3.50,1.44,2.40,4.50,10.00,2.10,1.80,Stade Municipal de Berkane (Berkane)
1573063200,Nov 6 2019 - 6:00pm,complete,N/A,Wydad Casablanca,Ittihad Tanger,N/A,3.00,0.00,1.91,0.67,4,0,4,0,0,0,"","",3,5,3,0,2,0,1,2,1,1,15,11,9,6,6,5,10,14,51,49,2.06,1.51,2.50,50,50,50,50,0,0,0,6.00,3.00,1.80,3.10,4.20,1.50,2.40,5.00,11.00,2.33,1.66,Stade Mohamed V (Casablanca)
1573311600,Nov 9 2019 - 3:00pm,complete,N/A,Youssoufia Berrechid,Raja Casablanca,Karim Sabri,0.50,2.00,1.92,1.67,3,2,5,0,0,0,"","",3,2,3,0,1,0,1,2,1,0,11,12,6,8,5,4,29,17,38,62,1.51,1.93,2.00,75,75,50,0,0,0,0,11.50,3.00,3.60,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Municipal de Berrechid (Berrechid)
1573394400,Nov 10 2019 - 2:00pm,complete,N/A,Olympic Safi,Raja Beni Mellal,N/A,1.00,0.00,1.62,0.18,1,0,1,0,0,0,"","",5,3,2,0,2,1,1,1,2,1,13,7,5,4,8,3,-1,-1,52,48,1.45,0.87,2.00,50,75,25,25,0,0,0,5.50,2.50,1.70,3.10,5.00,1.44,2.40,4.50,11.00,2.20,1.61,Stade El Massira (Safi)
1573401600,Nov 10 2019 - 4:00pm,complete,N/A,Wydad Casablanca,RSB Berkane,N/A,3.00,2.00,1.91,1.70,0,1,1,0,0,0,"","",7,6,1,1,2,1,1,1,1,2,2,2,2,2,0,0,11,10,64,36,0.88,0.66,2.75,50,75,50,50,0,0,0,8.50,7.00,1.62,3.53,5.55,1.44,2.39,3.84,10.00,2.25,1.57,Stade Mohamed V (Casablanca)
